Timestamp,Mode,Analysis Title,Channel Name,Creator Name,Creator Industry,Sponsor Name,Sponsor Industry
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Supercell,Mobile Game Development
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Openinapp,Mobile App Linking
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),WinZO,Online Gaming Platform
2025-04-23 14:02:19,2,Java Full Course for Beginners,Programming with Mosh,Mosh Hamedani,Software Development Education,JetBrains (IntelliJ),Software Development Tools
2025-04-23 14:04:23,2,Our Thrilling World Championship Match for Golden Ticket,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Supercell Store,Video Game Company / Online Store
2025-04-23 14:04:23,2,Our Thrilling World Championship Match for Golden Ticket,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Openinapp,App Deep Linking Platform
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,Supercell,Video Game Development
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,Openinapp,App Marketing/Link Management
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,WinZO,Online Gaming Platform
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,WWE (World Wrestling Entertainment),Professional Wrestling / Sports Entertainment
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Viewstats,Software Analytics
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Feastables,Snack Food
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Lunchly,Prepared Meals
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Redbull,Beverage (Energy Drink)
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),DoorDash,Food Delivery Service
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),T-Mobile,Telecommunications
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),.store,Domain Name Registration
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Extreme Music,Music Licensing
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Viewstats,YouTube Analytics Software
